0,0.03,6.05 
1,0.10,6.64 
2,0.05,5.16 
3,0.08,5.68 
4,0.08,4.40 
5,0.08,4.50 
6,0.06,4.08 
7,0.06,4.35 
8,0.05,2.95 
9,0.05,4.33 
10,0.05,4.98 
11,0.06,4.77 
12,0.11,3.06 
13,0.11,5.09 
14,0.05,3.68 
15,0.04,3.79 
16,0.14,2.59 
17,0.11,2.76 
18,0.09,3.76 
19,0.20,4.37 
20,0.08,4.14 
21,0.14,3.82 
22,0.16,1.89 
23,0.12,2.69 
24,0.13,3.25 
25,0.04,5.09 
26,0.07,3.88 
27,0.03,4.72 
28,0.07,5.83 
29,0.09,3.29 
30,0.04,4.85 
31,0.06,3.65 
32,0.08,5.36 
33,0.04,6.04 
34,0.02,6.85 
35,0.01,5.41 
36,0.02,7.35 
37,0.03,4.70 
38,0.01,6.77 
39,0.05,6.20 
40,0.05,6.16 
41,0.06,7.23 
42,0.04,6.24 
43,0.02,7.63 
44,0.28,4.47 
45,0.08,3.99 
46,0.09,5.70 
47,0.09,5.95 
48,0.08,5.47 
49,0.12,4.70 
50,0.14,3.94 
51,0.21,3.28 
52,0.12,3.55 
53,0.25,4.36 
54,0.16,2.94 
55,0.19,3.72 
56,0.15,3.29 
57,0.18,3.34 
58,0.13,4.22 
59,0.13,3.69 
60,0.20,3.24 
61,0.15,3.69 
62,0.15,3.67 
63,0.12,3.70 
64,0.15,3.75 
65,0.12,3.81 
66,0.11,3.75 
67,0.17,2.38 
68,0.13,2.97 
69,0.15,3.65 
70,0.10,3.70 
71,0.14,4.72 
72,0.07,4.17 
73,0.04,7.04 
74,0.05,6.54 
75,0.09,7.26 
76,0.08,5.44 
77,0.08,4.97 
78,0.10,5.21 
79,0.13,6.33 
80,0.09,3.64 
81,0.08,5.27 
82,0.11,3.99 
83,0.09,6.12 
84,0.06,5.87 
85,0.08,3.76 
86,0.07,5.28 
87,0.11,4.44 
88,0.04,6.04 
89,0.09,4.82 
90,0.10,6.35 
