00.11,4.31
10.14,3.88
20.15,4.21
30.15,4.24
40.14,4.04
50.15,4.37
60.11,3.32
70.15,3.96
80.14,3.37
90.18,3.79
100.17,5.10
110.14,4.75
120.16,3.63
130.15,4.34
140.09,4.64
150.09,3.36
160.14,5.40
170.16,5.03
180.21,2.91
190.19,2.29
200.13,3.19
210.23,2.40
220.09,4.48
230.21,1.86
240.18,6.18
250.29,1.63
260.17,3.30
270.10,4.21
280.21,2.66
290.17,2.70
300.14,4.59
310.13,3.57
320.15,3.66
330.14,3.25
340.16,3.06
350.29,1.87
360.19,4.43
370.16,4.23
380.24,1.84
390.13,2.97
400.17,2.56
410.14,2.90
420.18,3.76
430.12,3.65
440.19,3.57
450.20,2.69
460.15,2.35
470.11,3.48
480.29,2.30
490.19,3.20
500.15,4.45
510.09,4.19
520.18,4.14
530.08,4.96
540.15,2.70
550.15,4.32
560.16,3.08
570.14,4.41
580.20,2.88
590.28,2.99
600.17,3.17
610.16,6.14
620.31,2.61
630.10,4.60
640.16,4.01
650.06,3.85
660.14,2.87
670.10,5.59
680.17,4.89
690.08,5.38
700.18,3.57
710.29,1.98
720.09,4.71
730.10,4.57
740.23,2.46
750.10,4.14
760.33,2.37
770.17,3.58
780.12,4.76
790.28,2.56
800.14,3.71
810.13,4.19
820.12,3.78
830.09,4.84
840.11,3.49
850.10,5.80
860.12,4.83
870.10,4.98
880.18,3.92
890.21,3.94
900.12,6.42
910.16,4.44
920.13,4.67
930.08,4.17
940.10,4.50
950.19,2.49
960.06,5.01
970.31,1.93
980.17,4.55
990.17,7.35
1000.22,2.07
1010.14,3.38
1020.12,3.89
1030.16,3.58
1040.08,5.28
1050.15,4.65
1060.19,3.03
1070.28,2.15
1080.21,5.41
1090.12,4.83
1100.16,3.69
1110.19,2.74
1120.11,4.36
1130.11,4.49
1140.44,1.78
1150.28,4.31
1160.19,5.66
1170.12,3.76
1180.16,2.79
1190.16,4.56
1200.09,5.27
1210.24,3.84
1220.13,4.36
1230.26,1.94
1240.09,4.47
1250.18,3.95
1260.13,3.89
1270.17,2.93
1280.12,5.34
1290.11,2.98
1300.17,2.89
1310.13,5.28
1320.09,5.27
1330.14,3.09
1340.09,5.05
1350.06,4.67
1360.37,1.89
1370.09,4.39
1380.15,4.46
1390.18,4.13
1400.10,5.23
1410.18,4.13
1420.10,4.57
1430.30,2.03
1440.08,3.88
1450.15,3.40
1460.14,4.65
1470.22,5.21
1480.19,2.67
1490.08,3.51
1500.24,2.10
1510.11,5.11
1520.13,4.23
1530.13,4.59
1540.12,3.75
1550.31,2.34
1560.11,4.54
1570.11,5.09
1580.19,3.51
1590.09,4.42
1600.17,2.93
1610.15,4.13
1620.14,3.81
1630.11,4.79
1640.19,3.48
1650.12,4.41
1660.08,5.04
1670.09,7.84
1680.27,2.18
1690.14,3.72
1700.07,6.97
1710.10,4.67
1720.10,4.68
1730.11,4.47
1740.15,5.66
1750.19,2.13
1760.08,5.14
1770.08,3.85
1780.18,4.30
1790.12,6.92
1800.10,5.76
1810.12,5.00
1820.09,5.64
1830.10,4.84
1840.28,2.63
1850.14,4.15
1860.09,5.35
1870.10,5.10
1880.19,3.91
1890.08,4.04
1900.11,3.96
1910.10,4.27
1920.26,4.31
1930.15,5.28
1940.43,1.72
1950.09,5.83
1960.27,4.83
1970.25,2.54
1980.09,4.19
1990.11,5.43
2000.10,5.57
2010.28,2.83
2020.18,6.14
2030.36,2.40
2040.19,4.75
2050.15,4.55
2060.09,4.92
2070.13,4.67
2080.05,5.10
2090.16,2.54
2100.13,6.36
2110.15,5.59
2120.07,6.76
2130.14,4.17
